rate,directors,casts,star,cover,id,url,title
9.1,"[""赛尔乔·莱翁内""]","[""罗伯特·德尼罗"",""詹姆斯·伍兹"",""伊丽莎白·麦戈文"",""乔·佩西"",""波特·杨""]",45,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p477229647.jpg,1292262,https://movie.douban.com/subject/1292262/,美国往事
8.5,"[""乔治·米勒""]","[""汤姆·哈迪"",""查理兹·塞隆"",""尼古拉斯·霍尔特"",""休·基斯-拜恩"",""乔什·赫尔曼""]",45,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2236181653.jpg,3592854,https://movie.douban.com/subject/3592854/,疯狂的麦克斯4：狂暴之路
8.6,"[""细田守""]","[""仲里依纱"",""石田卓也"",""板仓光隆"",""原沙知绘"",""谷村美月""]",45,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2079334286.jpg,1937946,https://movie.douban.com/subject/1937946/,穿越时空的少女
8.2,"[""宫崎骏""]","[""奈良柚莉爱"",""山口智子"",""长岛一茂"",""天海祐希"",""柊瑠美""]",45,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p454118602.jpg,1959877,https://movie.douban.com/subject/1959877/,悬崖上的金鱼姬
9.3,"[""尤洛斯·林""]","[""罗里·金奈尔"",""鲁伯特·艾弗雷特"",""丹尼尔·卡卢亚"",""托比·凯贝尔"",""杰西卡·布朗·芬德利""]",50,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p1403875505.jpg,7054120,https://movie.douban.com/subject/7054120/,黑镜 第一季
8.2,"[""伍迪·艾伦""]","[""欧文·威尔逊"",""玛丽昂·歌迪亚"",""瑞秋·麦克亚当斯"",""汤姆·希德勒斯顿"",""凯西·贝茨""]",40,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p944234798.jpg,4319218,https://movie.douban.com/subject/4319218/,午夜巴黎
9.4,"[""James Burrows""]","[""吉姆·帕森斯"",""约翰尼·盖尔克奇"",""凯莉·库柯"",""西蒙·赫尔伯格"",""昆瑙·内亚""]",50,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p1314310319.jpg,2156528,https://movie.douban.com/subject/2156528/,生活大爆炸  第一季
8.3,"[""张猛""]","[""王千源"",""秦海璐"",""张申英"",""罗二羊"",""国永振""]",45,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p511447359.jpg,4876722,https://movie.douban.com/subject/4876722/,钢的琴
9.4,"[""詹姆斯·卡梅隆""]","[""莱昂纳多·迪卡普里奥"",""凯特·温丝莱特"",""比利·赞恩"",""凯西·贝茨"",""弗兰西丝·费舍""]",50,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p1408665952.jpg,5450891,https://movie.douban.com/subject/5450891/,泰坦尼克号 3D版
7.0,"[""今井夏木""]","[""新垣结衣"",""三浦春马"",""小出惠介"",""香里奈"",""麻生祐未""]",35,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p634019904.jpg,3003830,https://movie.douban.com/subject/3003830/,恋空
7.8,"[""伍迪·艾伦""]","[""丽贝卡·豪尔"",""斯嘉丽·约翰逊"",""哈维尔·巴登"",""佩内洛佩·克鲁斯"",""克里斯·梅西纳""]",40,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p453871779.jpg,1981242,https://movie.douban.com/subject/1981242/,午夜巴塞罗那
8.9,"[""卡迪亚·兰德"",""费尔南多·梅里尔斯""]","[""亚历桑德雷·罗德里格斯"",""莱安德鲁·菲尔米诺"",""菲利佩·哈根森"",""道格拉斯·席尔瓦"",""Jonathan Haagensen""]",45,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p455677490.jpg,1292208,https://movie.douban.com/subject/1292208/,上帝之城
7.7,"[""张艺谋""]","[""陈道明"",""巩俐"",""张慧雯"",""郭涛"",""刘佩琦""]",40,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2181207835.jpg,21352814,https://movie.douban.com/subject/21352814/,归来
8.8,"[""藤森雅也""]","[""山口胜平"",""加藤清史郎"",""原田知世"",""別所哲也""]",45,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p709670262.jpg,4848115,https://movie.douban.com/subject/4848115/,你看起来好像很好吃
7.3,"[""周星驰""]","[""周星驰"",""赵薇"",""吴孟达"",""谢贤"",""莫文蔚""]",40,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p1127695736.jpg,1297747,https://movie.douban.com/subject/1297747/,少林足球
9.1,"[""李濬益""]","[""薛耿求"",""严志媛"",""李来"",""金海淑"",""金相浩""]",45,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2118532944.jpg,21937452,https://movie.douban.com/subject/21937452/,素媛
7.5,"[""马修·沃恩""]","[""亚伦·泰勒-约翰逊"",""科洛·莫瑞兹"",""尼古拉斯·凯奇"",""克里斯托夫·梅兹-普莱瑟"",""马克·斯特朗""]",40,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2166633101.jpg,3148748,https://movie.douban.com/subject/3148748/,海扁王
8.1,"[""伍仕贤""]","[""夏雨"",""李冰冰"",""龚蓓苾"",""高旗"",""吴超""]",40,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p486667524.jpg,1308741,https://movie.douban.com/subject/1308741/,独自等待
8.1,"[""岩井俊二""]","[""铃木杏"",""苍井优"",""郭智博"",""广末凉子"",""阿部宽""]",40,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2196652087.jpg,1308820,https://movie.douban.com/subject/1308820/,花与爱丽丝
8.6,"[""李焕庆""]","[""柳承龙"",""朴信惠"",""郑镇荣"",""金正泰"",""吴达洙""]",45,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p1816276065.jpg,10777687,https://movie.douban.com/subject/10777687/,7号房的礼物
7.8,"[""岩井俊二""]","[""市原隼人"",""忍成修吾"",""伊藤步"",""大泽隆夫"",""市川实和子""]",40,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p649141235.jpg,1292219,https://movie.douban.com/subject/1292219/,关于莉莉周的一切
7.8,"[""王晶""]","[""周星驰"",""吴孟达"",""张敏"",""吴君如"",""邱淑贞""]",40,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p1655229345.jpg,1297223,https://movie.douban.com/subject/1297223/,鹿鼎记
6.3,"[""张建亚""]","[""徐峥"",""刘仪伟"",""宁静"",""白冰"",""伊能静""]",35,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p486787456.jpg,1927686,https://movie.douban.com/subject/1927686/,爱情呼叫转移
7.5,"[""克里斯多夫·甘斯""]","[""拉妲·米契尔"",""肖恩·宾"",""劳瑞·侯登"",""黛博拉·卡拉·安格"",""金·寇兹""]",40,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p554634907.jpg,1466007,https://movie.douban.com/subject/1466007/,寂静岭
7.2,"[""陈木胜""]","[""成龙"",""谢霆锋"",""杨采妮"",""蔡卓妍"",""吴彦祖""]",40,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p481963295.jpg,1306160,https://movie.douban.com/subject/1306160/,新警察故事
8.2,"[""冯小刚""]","[""葛优"",""刘蓓"",""何冰"",""冯小刚"",""英达""]",45,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2436823425.jpg,1303173,https://movie.douban.com/subject/1303173/,甲方乙方
7.1,"[""F·加里·格雷""]","[""范·迪塞尔"",""道恩·强森"",""查理兹·塞隆"",""杰森·斯坦森"",""米歇尔·罗德里格兹""]",35,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2444256500.jpg,26260853,https://movie.douban.com/subject/26260853/,速度与激情8
